127.0.0.1 - - [27/Feb/2022:16:58:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:09 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/datast1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/sql3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/java/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/python/python1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/dbms1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/sql5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/Book/c1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /Ebook/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:16 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7500
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:35 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:16:58:35 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:01:37 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7588
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:01:54 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:01:54 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7593
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:02:07 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:02:07 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:05:30 +0530] "GET /Ebook/ HTTP/1.1" 200 17300
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:06:57 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7606
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:07:00 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:07:39 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6550
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:27 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:29 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [27/Feb/2022:17:08:29 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 7529
