127.0.0.1 - - [02/Mar/2022:12:25:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:42 +0530] "GET /Ebook/ HTTP/1.1" 200 17398
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:42 +0530] "GET /Ebook/Book/sql3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:42 +0530] "GET /Ebook/Book/datast1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:42 +0530] "GET /Ebook/Book/sql5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:42 +0530] "GET /Ebook/Book/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:43 +0530] "GET /Ebook/Book/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:43 +0530] "GET /Ebook/Book/c1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:43 +0530] "GET /Ebook/Book/dbms2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:51 +0530] "POST /Ebook/searchpage.jsp HTTP/1.1" 200 6163
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:57 +0530] "POST /Ebook/searchpage.jsp HTTP/1.1" 200 6166
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:25:57 +0530] "GET /Ebook/Book/python1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:03 +0530] "POST /Ebook/searchpage.jsp HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:09 +0530] "POST /Ebook/searchpage.jsp HTTP/1.1" 200 9536
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:16 +0530] "POST /Ebook/searchpage.jsp HTTP/1.1" 200 14013
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:16 +0530] "GET /Ebook/Book/dbms2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:16 +0530] "GET /Ebook/Book/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:21 +0530] "GET /Ebook/PLogin.jsp HTTP/1.1" 200 6669
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:26:27 +0530] "GET /Ebook/RegPublisher.jsp HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [02/Mar/2022:12:27:01 +0530] "GET /Ebook/agreement.pdf HTTP/1.1" 304 -
